Game,Quantity,Finished,Location,Console,Owner,Boxed,Digital,Unboxed,Sealed,Date Completed,Comments
Battlefield 5,0,Yes,,Xbox one,Steven,,,,,26/08/2019 18:08:00,Ehhhhh it’s fine 
beach spikers,1,No,Steven’s Room,PS2,Shared,Yes,,,,,
beat down fists of vengeance,1,Yes,Steven’s Room,Xbox,"Steven
",Yes,,,,,
beatmaina,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Beautiful Katamari,1,No,Steven’s Room,360,Steven,Yes,,,,,
billy hatcher and the giant egg,1,No,Tom's Room,Gamecube,Shared,Yes,,,,,
Bioshock + oblivion,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
Bioshock 2,1,No,Steven’s Room,360,Steven,Yes,,,,,
black and white,1,No,Steven’s Room,PC,Steven,Yes,,,,,
blacksite,1,Yes,blue rack,360,Steven,,,Yes,,,
blade runner,1,No,Tom's Room,PC,Thomas,Yes,,,,,
Bladestorm,1,No,Steven’s Room,360,Steven,Yes,,,,,
Blaze and blade,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
Bloodstained curse of the moon,1,Yes,,Xbox one,Steven,,Yes,,,18/03/2019 20:40:00,Good end only
Bloodstained Ritual of the Night,0,Yes,,Xbox one,Steven,,Yes,,,17/01/2020 21:23:00,Actually a really fun game if not sorta confusing at times
blue dragon,1,No,Steven’s Room,360,Steven,Yes,,,,,
Blue Reflection,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
blue stinger,1,No,Steven’s Room,Dreamcast,Shared,Yes,,,,,
Bomberman fantasy race,1,No,Steven’s Room,PS1,Steven,Yes,,,,,
bomberman generation,1,No,Tom's Room,Gamecube,Shared,,,,,,
bomberman world,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
Bravely default,1,Yes,Steven’s Room,3DS,Steven,Yes,,,,,
Breakdown,1,No,Steven’s Room,Xbox,Shared,Yes,,,,,
breath of fire,1,No,Tom's Room,Game Boy Advance,Thomas,,,,,,
Breath of Fire 4,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
breath of fire dragon quarter,1,No,Tom's Room,PS2,Thomas,,,,,,
brian lara international cricket 07,1,No,blue rack,360,Steven,,,Yes,,,
Broken sword trilogy,1,No,blue rack,PC,Thomas,,,Yes,,,
Brothers in hell - hell's highway,1,No,Steven’s Room,360,Steven,Yes,,,,,
Burning rangers,1,No,Steven’s Room,Saturn ,Thomas,Yes,,,,,
bushido blade,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
buzz the music quiz,1,Yes,Steven’s Room,PS2,Shared,Yes,,,,,
call of duty,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
Call of duty finest hour,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Call of Duty Modern Warfare,1,Yes,,Xbox One,Steven,,Yes,,,16/04/2020 16:41:00,"Well that was fun, beaten on veteran"
Call of duty world at war,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Call of duty ww2,1,Yes,,PC,Steven,,Yes,,,3/2/2020 20:17:00,honestly it was fine 
Carrion,0,Yes,,Xbox one,Steven,No,Yes,,,7/9/2020 22:25:00,"Good game, very interesting concept. Kinda confusing at times but enjoyable"
Castlevania,1,No,Steven’s Room,PS2,Thomas,Yes,,,,,
castlevania curse of darkness,1,No,Tom's Room,PS2,Thomas,,,,,,
Castlevania lords of shadows,1,No,Steven’s Room,PS3,"Steven
",Yes,,,,,
Catherine,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Celeste,0,Yes,,Xbox one,Steven,,,,,14/03/2019 21:40,"Game pass, it’s actually really good, like super meat boy, great music"
chaos break,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
chaos legion,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
child of eden,1,No,Steven’s Room,360,Steven,Yes,,,,,
Children of Morta,0,Yes,,Xbox one,Steven,,Yes,,,25/03/2020 16:34:00,"Great art, little repetitive at times but good game for sure"
Christmas Nights,1,No,Steven’s Room,Saturn ,"Thomas
",Yes,,,,,
chromehounds,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
chu chu rocket,1,No,Tom's Room,Dreamcast,Shared,Yes,,,,,
Clock Tower 3,1,No,Tom's Room,PS2,Thomas,,,,,,
colin mcrae rally 05,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
colony wars vengeance,1,No,blue rack,PS1,Thomas,,,Yes,,,
conflict global storm,1,No,blue rack,PC,Steven,,,Yes,,,
conker live and reloaded,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
Control,0,Yes,,Xbox One,Steven,,Yes,,,15/12/2020 19:45,Definitely better than expected confusing at times
Crackdown 3,0,Yes,,Xbox One,Steven,,Yes,,,17/03/2019 12:50,Meh
crash bandicoot,1,Yes,Steven’s Room,PS1,Shared,Yes,,,,,
crash bandicoot 3,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
crash bash,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Creature in the well,0,Yes,,Xbox one,Steven,,Yes,,,23/02/2020 14:48:00,Better than I thought (once I found out about upgrades)
crimson sea,1,Yes,Tom's Room,Xbox,Thomas,Yes,,,,,
Crimson Sea 2,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Croc 2,1,No,Tom's Room,PS1,Thomas,,,Yes,,,
Cross Edge,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
CTR/Spyro Remastered,1,No,"Tom's Flat
",PS4,"Thomas
",Yes,,,,,
Cyberpunk 2077,0,No,,Xbox One,Thomas,,Yes,,,,"Not even out yet, getting it with my new Xbox One X :)"
Cybershadow,0,Yes,,Xbox One,Steven,,Yes,,,13/04/2021 12:13:00,"It's a fun game, hard but fun. Good one of those"
cybersled,1,No,Steven’s Room,PS1,"Steven
",Yes,,,,,
Dancing Stage Fever,1,No,drawer,PS1,Shared,Yes,,,,,
Dancing Stage party edition,1,No,drawer,PS1,Shared,Yes,,,,,
dark chronicle,1,No,Tom's Room,PS2,Thomas,,,,,,
dark cloud,1,No,Steven’s Room,PS2,"Steven
",Yes,,,,,
dark cloud,1,No,Tom's Room,PS2,Thomas,,,,,,
Dark saviour,0,Yes,,Saturn,Steven,,,,,05/01/2020 18:11:00,Parellel 1 finished!
Dark Souls 2,,Yes,,Steam,Steven,,Yes,,,3/10/2018 0:30:00,Only took like 5 years
Dark Souls collector's edition,1,No,Steven’s Room,360,Steven,Yes,,,,,
Dawn of war,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
dawn of war 2,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
dawn of war dark crusade,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
Dawn of war winter assault,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
dead or alive 4,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
dead rising,1,No,Steven’s Room,360,Steven,Yes,,,,,
Deadly Premonition,1,No,Steven’s Room,360,Steven,Yes,,,,,
Deadly Premonition director's cut,1,Yes,,Ps3,Steven,,Yes,,,16/03/2019 23:00:00 ,Giant fat man with doll
Deadly Skies,1,No,drawer,Dreamcast,"Shared
",Yes,,,,,
Deadpool,1,Yes,,PS4,Steven,,Yes,,,01/12/2018 9:10:00,"Odd game, gets boring by the end but deadpool jokes are interesting "
death by degrees,1,No,blue rack,PS2,Thomas,,,Yes,,,
Death Stranding,1,"No
","Tom's Flat
",PS4,"Thomas
",Yes,,,,,
Deathsmiles deluxe edition,1,No,Tom's Room,360,"Thomas
",,,,,,
Deliver us the moon,0,Yes,,Xbox One,Steven,,Yes,,,18/05/2020 00:00:00,"Its fine, runs like rubbish too on xbox one"
Demon Chaos,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Demon Souls,1,Yes,"Digital
",PS3,Steven,No,Yes,,,,
Descent 2,1,No,drawer,PC,"Steven
",,,Yes,,,
destrega,1,Yes,Steven’s Room,PS1,"Shared
",Yes,,,,,
Deus ex human revolution,1,Yes,,PC,Steven,,Yes,,,06/10/2018 0:00:00,Gets better near the end and really goes places
Devil Kings,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Devil May Cry 3,1,No,Tom's Room,PS2,"Shared
",Yes,,,,,
Digimon World,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
dino crisis,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
dino crisis 2,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
Dino crisis 3,1,Yes,Tom's Room,Xbox,Thomas,Yes,,,,,
Dirge of Cerberus: Final Fantasy VII,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Dirt showdown,1,No,Steven’s Room,360,Steven,Yes,,,,,
Disgaea 2,2,Yes,Steven’s Room,PS2,"Steven/Thomas
",Yes,,,,,Has Bonus disk
Disgaea 3 Absence of Justice,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
Disgaea Hour of Darkness,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
dishonored,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
Dishonored,1,Yes,,Steam,Steven,,Yes,,,,Beat all the dlc too
Dishonored 2,1,Yes,Steven’s Room,PS4,Steven,Yes,,,,,
Dishonored death of the outsider,1,Yes,Steven’s Room,PS4,Steven,Yes,,,,4/1/2019 0:43:00,
Dissida Final Fantasy NT,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
Dissidia final fantasy,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Doki doki literature club,1,Yes,,PC,Steven,,Yes,,,3/2/2020 22:25:00,"Well that was dark, update - holy shit that got darker"
donkey kong,1,No,Tom's Room,atari 7800,Thomas,,,Yes,,,
Donkey Kong Land,1,No,Steven’s Room,Gameboy,Thomas,,,Yes,,,
Doom 3 collectors,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
Down the rabbit hole ,1,Yes,,Oculus Quest,Steven,,Yes,,,25/03/2021 18:46:00,
Dragon Age 2,1,No,Steven’s Room,360,Steven,Yes,,,,,
Dragon quest 9,1,No,Steven’s Room,DS,Steven,Yes,,,,,
dragon quest swords,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
Dragon quest the journey of the cursed king,2,No,Steven’s Room,PS2,Steven,Yes,,,,,
Dragon Valuor,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
dragon warrior monsters,1,Yes,Steven’s Room,Gameboy,Steven,Yes,,,,,
Dragons Dogma,1,No,Steven’s Room,360,Steven,Yes,,,,,
drakenguard,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
drakenguard 2,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Drakenguard 3,1,No,Tom's Room,PS3,Thomas,Yes,,,,,
driving emotion s-types,1,No,blue rack,PS2,Thomas,,,Yes,,,
dungeon siege,1,No,Steven’s Room,PC,Steven,Yes,,,,,
Dynasty Tactics,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Dynasty tactics 2,1,No,Steven’s Room,PS2,Shared,Yes,,,,,
Dynasty warriors,1,No,Steven’s Room,PS1,Steven,Yes,,,,,
dynasty warriors 4 extreme legends,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Dynasty warriors 5 exterme legends,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
dynasty warriors gundam,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Dynasty warriors Gundam,1,No,Steven’s Room,360,Steven,Yes,,,,,
Dynasty warriors Gundam 2,1,No,Steven’s Room,360,Steven,Yes,,,,,
Dynasty warriors Gundam 3,1,No,Steven’s Room,360,Steven,Yes,,,,,
Dynasty warriors gundam 3,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Dynasty warriors Gundam reborn,1,No,Steven’s Room,"PS3
",Thomas,Yes,,,,,
dynasty warriors next,1,Yes,Steven’s Room,Playstation Vita,Steven,Yes,,,,,
echochrome,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
ehrgeiz,2,Yes,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
El shaddi,1,No,Steven’s Room,360,Steven,Yes,,,,,
Elder Scrolls oblivion,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Empire of Sin,0,Yes,,Xbox One,Steven,,Yes,,,22/03/2021 10:48:00,"Interesting game full of half baked ideas, very meh after the first 5 hourd"
enchanted arms,1,No,Steven’s Room,360,Steven,Yes,,,,,
Eternal Darkness,1,Yes,Steven’s Room,Gamecube,Steven,Yes,,,,,
Eternal Sonata,1,No,Steven’s Room,360,Steven,Yes,,,,,
everybody's golf,1,No,Steven’s Room,Playstation Vita,Steven,Yes,,,,,
Evil Within,1,Yes,Steven’s Room,PS4 ,Steven,Yes,,,,25/08/2019 23:13:00,Wtf happened in this game
evil zone,1,No,"Tom's Flat
",PS1,"Thomas
",Yes,,,,,
Evolution,1,No,Tom's Room,Dreamcast,Shared,Yes,,,,,
evolution worlds,1,No,Tom's Room,Gamecube,Shared,,,,,,
f-zero gx,1,Yes,Tom's Room,Gamecube,Shared,Yes,,,,,
f1 2011,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
F1 Race,1,Yes,Steven’s Room,Gameboy,Steven,,,Yes,,,
Far Cry 3,1,No,Steven’s Room,360,Steven,Yes,,,,,
Far Cry Primal,1,No,Steven’s Room,PS4,Steven,Yes,,,,,
Faster than light,1,Yes,,PC,Steven,,Yes,,,7/4/2020 11:35:00,Easy mode my ass (advanced content)
faxanadu,1,No,Tom's Room,nes,Thomas,,,Yes,,,
Fear effect,1,No,Tom's Room,PS1,Steven,Yes,,,,,
fear effect 2,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Final Fantasy anthology,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
Final Fantasy crystal chronicles the crystal bearers,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
Final Fantasy fables chocobo dungeon,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
Final Fantasy origins,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Final Fantasy 13,1,No,Steven’s Room,360,Steven,Yes,,,,,
Final Fantasy 13 Lightning Returns,1,No,Steven’s Room,360,Steven,Yes,,,,,
Final Fantasy 13-2,1,No,Steven’s Room,360,Steven,Yes,,,,,
Final Fantasy IV: The Complete Collection,1,No,Steven’s Room,PSP,Steven,Yes,,,,,
Final Fantasy 6,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
Final Fantasy 7,2,Yes,Steven’s Room,PS1,Shared,Yes,,,,,
Final Fantasy 8,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Final Fantasy 9,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
Final Fantasy X,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
fifa 04,1,Yes,Steven’s Room,N-Gage,Steven,Yes,,,,,
Fifa 18,0,Yes,,Xbox One,Steven,,,,,20/06/2019 00:00:00,The journey mode
Fifa 19,0,Yes,,Xbox one,Steven,,Yes,,,15/01/2021 18:44:00,Beaten the journey 
Fighting Vipers,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Fighting Vipers 2,1,No,Tom's Room,Dreamcast,Thomas,Yes,,,,,
Final Doom,1,No,Tom's Room,PC,Thomas,,,Yes,,,
Final Fantasy 12,1,No,Tom's Room,PS2,Steven,,,,,,
Final Fantasy 6,1,Yes,Steven’s Room,Ps1,,Yes,,,,6/9/2020 21:06:00,"with matt, the game that never ends ends finally "
Final Fantasy 7 Remake,1,Yes,Tom's Flat,PS4,Steven,Yes,,,,17-10-2020 00:00:00,"9/10 Going places, I loved it but did drag on in parts, excited for next part"
Final Fantasy 9,0,Yes,,Xbox One,Steven,,Yes,,,7/7/2020 21:07:00,I might have used the 9999 easy mode for the last few hours
final fantasy crystal bearers,1,No,Tom's Room,Gamecube,"Shared
",,,,,,
final fantasy x-2,1,No,Tom's Room,PS2,Thomas,,,,,,
final fight streetwise,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
Fire Emblem radiant dawn,1,No,Steven’s Room,Wii,Thomas,Yes,,,,,
Fire Emblem Warrior,1,Yes,Steven’s Room,Switch,Steven,Yes,,,,20/09/2018 00:00:00,
Fire Emblem: Three Houses Special Edition,1,Yes,Steven’s Room,Switch,Steven,Yes,,,,18/09/2020 23:55:00,Beat the edleaguard house(red ones) story
Folklore,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
For Honor,1,Yes,Steven’s Room,Xbox One,Steven,Yes,,,,4/5/2020 20:18:00,"fun game but missing something, cool idea though "
forbidden siren 2,1,No,Tom's Room,PS2,Thomas,,,,,,
fragile dreams,1,No,Steven’s Room,Wii,Shared,Yes,,,,,
front mission 3,1,Yes,Steven’s Room,PS1,Thomas,Yes,,,,,
future cop,1,No,Steven’s Room,PS1,"Thomas
",Yes,,,,,
galerians,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
gametrak darkwind,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
Gears 5,0,Yes,,Xbox one,Steven,,Yes,,,8/2/2020 15:34:00,"I liked it, they tryed some new stuff which made a change, hard mode was a bad choice though "
Gears of war 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Gears of war 3,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Gears of War 4,1,Yes,,Xbox One,Steven,,Yes,,,5/1/2018 0:00:00,
Gears of war limited edition,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Gears of War Ultimate Edition,1,No,Steven’s Room,Xbox One,Steven,Yes,,,,,
gears or war 1,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Genma Onimusha,1,No,Tom's Room,Xbox,Shared,Yes,,,,,Pre-Release
ghost in the shell stand alone complex,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Ghost Recon Future Soldier,1,No,Steven’s Room,360,Steven,Yes,,,,,
ghost recon jungle storm,1,No,Steven’s Room,N-Gage,Steven,Yes,,,,,
Ghost recon shadow wars,1,No,Steven’s Room,3DS,Steven,Yes,,,,,
ghost trick,1,No,Tom's Room,DS,Thomas,,,,,,
ghoul panic,1,No,blue rack,PS1,"Thomas
",,,Yes,,,
Giga wing,1,Yes,Steven’s Room,Dreamcast,Thomas,Yes,,,,,
Gitaroo Man,2,No,Tom's Room,PS2,"Shared/Thomas
",,,,,,
Gladius,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
god hand,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
god of war 2,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
God of War 3,1,No,Steven’s Room,PS3,Steven,Yes,,,,,
Golden Sword -Dark Dawn,1,No,Steven’s Room,DS,Steven,Yes,,,,,
Gotcha Force,1,Yes,Steven’s Room,Gamecube,Shared,Yes,,,,,
Gradius 3 and 4,1,No,Tom's Room,PS2,Thomas,,,,,,
grandia,1,No,Steven’s Room,PS1,Shared,Yes,,,,,
granida 2,1,No,Tom's Room,PS2,Thomas,,,,,,
Granstream saga,1,No,Steven’s Room,PS1,"Shared
",Yes,,,,,
Growlancer heritage of war,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Growlancer heritage of war,1,No,Tom's Room,PS2,Thomas,Yes,,,,,
guardian crusade,2,No,Steven’s Room,PS1,"Shared/Thomas
",Yes,,,,,
Guild wars the complete collection,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
guility gear overture,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
guitar hero 2,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
guitar hero 3,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
guitar hero world tour,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
gun valkyrie,1,No,Steven’s Room,Xbox,Steven,Yes,,,,,
gunbird 2,1,Yes,Steven’s Room,Dreamcast,"Thomas
",Yes,,,,,
gundam battle assault 2,1,Yes,Steven’s Room,PS1,Thomas,Yes,,,,,
gungage,2,Yes,Steven’s Room,PS1,"Shared
",Yes,,,,,
halo 2 limited edition,1,Yes,Steven’s Room,Xbox,Steven,Yes,,,,,
Halo 3 limited edition,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Halo 3 odst,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Halo 4,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Halo 5,1,Yes,,Xbox One,Steven,,Yes,,,,
Halo Master Chief Collection (limited edition),1,Yes,Steven’s Room,Xbox One,Steven,Yes,,,,,
Halo Reach,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
halo wars,1,Yes,Steven’s Room,360,Steven,Yes,,,,,
Halo Wars 2,1,No,,Xbox One,Steven,,Yes,,,,
Halo Wars 2,1,Yes,,Xbox One,Steven ,,Yes,,,17/01/2020 18:47:00,I wish I'd not left two years to finish that
Hard edge,1,No,Steven’s Room,PS1,Steven,Yes,,,,,
haunting ground,1,No,Tom's Room,PS2,Thomas,,,,,,
Haven,0,Yes,,Xbox One,Steven,,Yes,,,15/03/2021 17:30:00,"It's a nice game, if a tad unclear. Does Relationships well and is a tad spicy"
Heavy Rain,1,Yes,Steven’s Room,PS3,Thomas,Yes,,,,,
Heroland,1,Yes,Tom's Flat,PS4,Thomas,Yes,,,,,
Hollow Knight,1,No,,Switch,Steven,,Yes,,,,
homefront -resist edition,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
Horizon Zero Dawn Complete,1,No,Tom's Flat,PS4,Thomas,Yes,,,,,
House of the Dying Sun,1,Yes,,Steam,Steven,,Yes,,,7-11-2020 12:18,"Short but fun, played with Steel Battalion controller"
Human fall flat,1,Yes,,Steam,Steven,,Yes,,,18/1/2019 23:00:00,game pass version with matt
Hundred Swords,1,Yes,blue rack,PC,Steven,,,Yes,,,
Hyperdimension Neptunia,1,No,Steven’s Room,PS3,Thomas,Yes,,,,,
ICO,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
Inazuma 11,1,No,Steven’s Room,DS,Steven,Yes,,,,,
Infamous Second Sun,1,Yes,,PS4,Steven,,Yes,,,30-09-2018 00:00:00,
Infinite Undiscovery,1,No,Steven’s Room,360,Steven,Yes,,,,,
Inside,0,Yes,,Xbox one,Steven,,Yes,,,6/2/2020 17:02:00,"Meh, where is the actual ending "
Ivy the kiwi,1,No,Tom's Room,Wii,Thomas,Yes,,,Yes,,
jade empire,1,Yes,Steven’s Room,PC,Steven,Yes,,,,,
japanese f1 game,1,No,Steven’s Room,Saturn ,Steven,Yes,,,,,
Jet force gemini,1,No,Steven’s Room,N64,Steven,Yes,,,,,
Just cause 4,0,Yes,,Xbox one,Steven,,,,,17/10/2019 20:05:00,"Jeez this game needed to finish sooner, such a drag"
Kagero deception 2,1,No,Steven’s Room,PS1,Thomas,Yes,,,,,
Katana Zero,0,Yes,,Xbox One,Steven,,Yes,,,13/11/2020 13:10:00,Beat the choose life ending- really good short game -trippy
Kessen,1,Yes,blue rack,PS2,Shared,,,Yes,,,
kessen 3,1,No,Steven’s Room,PS2,Steven,Yes,,,,,
killer 7,1,No,Steven’s Room,PS2,"Thomas
",Yes,,,,,
Killer is dead(limited edition),1,Yes,Steven’s Room,360,Steven,Yes,,,,,
kingdom hearts,1,Yes,Steven’s Room,PS2,Steven,Yes,,,,,
